url,segment_no,cumle_icerigi,sozcuk_sayisi
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,0,tüm dünyayı etkisi altına alan yeni tip koronavirüs kovid salgını birçok sektörü olumsuz etkiledi,14
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,1,etkilenen sektörlerden yayıncılık pandemi sürecinde matbaalar baskıya ara verdi kitap mağazaları kapandı türkiye yazarlar birliği i̇stanbul şubesi başkanı mahmut bıyıklı yayıncılığın normal zamanlarda dahi ayakta kalma mücadelesi verdiğini söylüyor,29
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,2,yetkililerin oluşan sorunlara acil olarak çözüm sunması gerekiyor,8
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,3,kültür taşıyıcısı olan yayınevlerinin krize girmesi ülkenin kültürünün krize girmesi demektir,11
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,4,kitapların basılıp dağıtılamaması yazarların üretimini etkiler diyen bıyıklı yazarların yazmaya devam etmesi yazdıklarının okuyucuya ulaşması yayıncılara yönelik ilan edilen desteklerin artırılması gerektiğini düşünüyoruz ifadelerini kullandı,25
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,5,bıyıklı göre süreçte kültür turizm bakanlığı nın kütüphaneler aldığı kitapların sayılarını arttırıp ödemelerini hızlı şekilde yapması yayıncılara nefes aldıracak,19
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,6,sivil toplum örgütlerinin yerel yönetimlerin sanayicilerin bakanlıkların kitap hediye etme seferberliği ilan ederek yayıncılara omuz vermesi gerektiğini belirten bıyıklı şunları söyledi evde kalınan süreçte birçok kurumun kitap okumaya yönelik yaptığı faaliyetlerin yayıncılar açısından önemi ortada,35
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,7,bu çabalar ulusal bir seferberliğe dönüştürülebilir,6
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,8,yayıncılara anlamlı desteği okurlar verebilir düşünüyorum,6
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,9,okurlar kitaplara zamankinde sahip çıkmalı,5
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,10,salgın nedeniyle akrabaları dostlarıyla görüşemeyen kitapseverler sevdiklerine selam ziyaret niyetine kitap sipariş edip hediye olarak gönderebilir,16
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,11,yayıncı yaşasın yazar yazsın kitap okura ulaşsın dünya güzel olsun online kitap siteleri portföylerinin bir kısmını satışa sundutürkiye yayıncıların arzu ettiği ölçüde kitap okuyucusu olmadığını söyleyen nar çocuk yayınları genel yayın yönetmeni tayfur esen pandemi insanların aklına evdeyiz zaman kitap okuyalım düşüncesini getirir mi getirmez mi tartıştık,47
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,12,fakat istediğimiz sonuç maalesef ortaya çıkmadı dedi,7
